criterion,residual,scale,PETSc_ [#KSP_Convergence_Tests]_,pyamgx_ [#AMGX_convergence]_,PySparse_,SciPy_ [#SciPy_Convergence_Test]_,Trilinos_ [#AztecOO_convergence]_
``unscaled``,:math:`\|\mathsf{L}\vec{x} - \vec{b}\|_2`,:math:`1`,[#FiPy_Convergence_Test]_,``ABSOLUTE``,[#FiPy_Convergence_Test]_,[#FiPy_Convergence_Test]_,``AZ_noscaled``
``RHS``,:math:`\|\mathsf{L}\vec{x} - \vec{b}\|_2`,:math:`\|\vec{b}\|_2`,|KSP_NORM_UNPRECONDITIONED|_,[#FiPy_Convergence_Test]_,"`cgs <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/cgs.c#l90>`_, `pcg <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/pcg.c#l154>`_, `qmres <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/qmrs.c#l139>`_, or [#FiPy_Convergence_Test]_",``default``,``AZ_rhs``
``matrix``,:math:`\|\mathsf{L}\vec{x} - \vec{b}\|_2`,:math:`\|\vec{L}\|_\infty`,[#FiPy_Convergence_Test]_,[#FiPy_Convergence_Test]_,[#FiPy_Convergence_Test]_,[#FiPy_Convergence_Test]_,``AZ_Anorm``
``initial``,:math:`\|\mathsf{L}\vec{x} - \vec{b}\|_2`,:math:`\|\mathsf{L}\vec{x} - \vec{b}\|_2^{(0)}`,[#FiPy_Convergence_Test]_,``RELATIVE_INI_CORE``,"`bicgstab <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/bicgstab.c#l287>`_, `gmres <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/gmres.c#l159>`_, `minres <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/minres.c#l195>`_, or [#FiPy_Convergence_Test]_",[#FiPy_Convergence_Test]_,``AZ_r0``
``solution``,:math:`\|\mathsf{L}\vec{x} - \vec{b}\|_\infty`,:math:`\|\mathsf{L}\|_\infty  * \|\vec{x}\|_1 - \|\vec{b}\|_\infty`,,,,,``AZ_sol``
``preconditioned``,:math:`\left\|\mathsf{P}^{-1}(\mathsf{L}\vec{x} - \vec{b})\right\|_2`,:math:`\left\|\vec{b}\right\|_2`,|KSP_NORM_PRECONDITIONED|_,,,,
``natural``,:math:`\sqrt{(\mathsf{L}\vec{x} - \vec{b})\mathsf{P}^{-1}(\mathsf{L}\vec{x} - \vec{b})}`,:math:`\left\|\vec{b}\right\|_2`,|KSP_NORM_NATURAL|_,,,,
``legacy``,,,|KSP_NORM_DEFAULT|_ (``RHS`` or ``preconditioned``),``initial``,``RHS`` or ``initial``,``RHS``,``initial``
