 --inline 	 --cache  	           Date          	 Elements 	total runtime(s)
    0     	    0     	 Wed Jun  8 16:14:23 2011	   100    	14.0056951046
    0     	    0     	 Wed Jun  8 16:14:38 2011	   1000   	38.4683148861
    0     	    0     	 Wed Jun  8 16:15:17 2011	  10000   	420.339335918
----------------------------------------------------------------------------------------------------
    0     	    0     	 Wed Jun  8 16:22:45 2011	   100    	14.0772850513
    0     	    0     	 Wed Jun  8 16:23:00 2011	   1000   	37.8052361012
    0     	    0     	 Wed Jun  8 16:23:38 2011	  10000   	416.163956881
----------------------------------------------------------------------------------------------------
    0     	    0     	 Thu Jun  9 10:20:28 2011	   100    	14.3770411015
    0     	    0     	 Thu Jun  9 10:21:27 2011	   100    	10.8328738213
    0     	    0     	 Thu Jun  9 10:45:04 2011	   100    	14.3764071465
    0     	    0     	 Thu Jun  9 10:46:33 2011	   100    	11.0213019848
    0     	    0     	 Thu Jun  9 11:03:32 2011	   100    	15.5786821842
    0     	    0     	 Thu Jun  9 11:04:28 2011	   100    	14.4411110878
    0     	    0     	 Thu Jun  9 11:04:58 2011	   100    	14.3003730774
    0     	    0     	 Thu Jun  9 11:05:55 2011	   100    	11.2724070549
    0     	    0     	 Thu Jun  9 11:06:13 2011	   100    	13.8158118725
    0     	    0     	 Thu Jun  9 11:49:24 2011	   100    	14.6713869572
    0     	    0     	 Thu Jun  9 11:49:58 2011	   100    	14.7395291328
    0     	    0     	 Thu Jun  9 11:50:13 2011	   1000   	39.4897100925
    0     	    0     	 Thu Jun  9 11:50:53 2011	  10000   	387.84190917
----------------------------------------------------------------------------------------------------
    0     	    0     	 Thu Jun  9 13:30:21 2011	   100    	13.132999897
    0     	    0     	 Thu Jun  9 13:32:16 2011	   100    	12.5219640732
    0     	    0     	 Thu Jun  9 13:34:01 2011	   100    	13.2447268963
    0     	    0     	 Thu Jun  9 13:34:29 2011	   100    	13.2442440987
    0     	    0     	 Thu Jun  9 13:37:13 2011	   100    	12.7217319012
    0     	    0     	 Thu Jun  9 13:40:37 2011	   100    	12.2241728306
    0     	    0     	 Thu Jun  9 14:01:03 2011	   100    	10.638698101
    0     	    0     	 Thu Jun  9 14:02:20 2011	   100    	14.4896109104
    0     	    0     	 Thu Jun  9 14:08:53 2011	   100    	14.0477249622
    0     	    0     	 Thu Jun  9 14:09:33 2011	   100    	15.668184042
    0     	    0     	 Thu Jun  9 14:17:45 2011	   100    	14.586769104
    0     	    0     	 Thu Jun  9 14:18:45 2011	   100    	14.3291859627
    0     	    0     	 Thu Jun  9 14:19:29 2011	   100    	14.7973768711
    0     	    0     	 Thu Jun  9 14:20:32 2011	   100    	10.8031520844
    0     	    0     	 Thu Jun  9 14:21:01 2011	   100    	15.6157500744
    0     	    0     	 Thu Jun  9 14:23:52 2011	   100    	15.7288451195
    0     	    0     	 Thu Jun  9 14:24:18 2011	   100    	13.1737020016
    0     	    0     	 Thu Jun  9 14:33:58 2011	   100    	11.9167401791
    0     	    0     	 Thu Jun  9 14:35:20 2011	   100    	11.1578319073
    0     	    0     	 Thu Jun  9 14:36:52 2011	   100    	13.4203081131
    0     	    0     	 Thu Jun  9 14:43:34 2011	   100    	11.5131688118
    0     	    0     	 Thu Jun  9 14:47:47 2011	   100    	10.4885129929
    0     	    0     	 Thu Jun  9 14:49:33 2011	   100    	14.9849579334
    0     	    0     	 Thu Jun  9 14:51:33 2011	   100    	14.4799981117
    0     	    0     	 Thu Jun  9 14:55:54 2011	   100    	15.4888329506
    0     	    0     	 Thu Jun  9 15:01:29 2011	   100    	14.5058879852
    0     	    0     	 Thu Jun  9 15:02:08 2011	   100    	14.6943809986
    0     	    0     	 Thu Jun  9 15:05:40 2011	   100    	10.7565979958
    0     	    0     	 Thu Jun  9 15:33:18 2011	   100    	14.8272640705
    0     	    0     	 Fri Jun 10 10:27:06 2011	   100    	14.9940769672
    0     	    0     	 Fri Jun 10 10:47:00 2011	   100    	15.8575899601
    0     	    0     	 Fri Jun 10 10:47:35 2011	   100    	15.7849271297
    0     	    0     	 Fri Jun 10 10:49:23 2011	   100    	14.5255579948
    0     	    0     	 Fri Jun 10 11:02:28 2011	   100    	12.4758219719
    0     	    0     	 Fri Jun 10 11:02:42 2011	   1000   	31.7703521252
    0     	    0     	 Fri Jun 10 11:03:15 2011	  10000   	360.539788008
----------------------------------------------------------------------------------------------------
    0     	    0     	 Fri Jun 10 11:13:25 2011	   100    	10.7468400002
    0     	    0     	 Fri Jun 10 11:13:37 2011	   1000   	31.4593191147
    0     	    0     	 Fri Jun 10 11:14:09 2011	  10000   	436.436168909
----------------------------------------------------------------------------------------------------
    0     	    0     	 Fri Jun 10 11:23:58 2011	   100    	14.7753989697
    0     	    0     	 Fri Jun 10 11:26:00 2011	   100    	14.4257361889
    0     	    0     	 Fri Jun 10 11:27:11 2011	   100    	13.5836331844
    0     	    0     	 Fri Jun 10 11:27:26 2011	   1000   	35.7258319855
    0     	    0     	 Fri Jun 10 11:28:34 2011	   100    	13.5598099232
    0     	    0     	 Fri Jun 10 11:30:41 2011	   100    	10.6169099808
    0     	    0     	 Fri Jun 10 11:30:52 2011	   1000   	28.4718689919
    0     	    0     	 Fri Jun 10 11:31:21 2011	  10000   	332.661278963
----------------------------------------------------------------------------------------------------
    0     	    0     	 Fri Jun 10 11:37:09 2011	   100    	14.4688260555
    0     	    0     	 Fri Jun 10 11:37:25 2011	   1000   	40.0809080601
    0     	    0     	 Fri Jun 10 11:38:06 2011	  10000   	343.465870857
----------------------------------------------------------------------------------------------------
    0     	    0     	 Fri Jun 10 11:45:37 2011	   100    	13.7792050838
    0     	    0     	 Fri Jun 10 11:45:52 2011	   1000   	40.4618999958
    0     	    0     	 Fri Jun 10 11:48:06 2011	   100    	14.6213948727
    0     	    0     	 Fri Jun 10 11:48:22 2011	   1000   	39.7293999195
    0     	    0     	 Fri Jun 10 11:57:47 2011	   100    	13.4094591141
    0     	    0     	 Fri Jun 10 11:58:51 2011	   100    	11.0372691154
    0     	    0     	 Fri Jun 10 11:59:03 2011	   1000   	31.6804029942
    0     	    0     	 Fri Jun 10 12:02:06 2011	   100    	11.08558321
    0     	    0     	 Fri Jun 10 12:03:37 2011	   100    	11.8602519035
    0     	    0     	 Fri Jun 10 12:04:13 2011	   100    	14.3158090115
    0     	    0     	 Fri Jun 10 12:05:11 2011	   100    	14.5776298046
    0     	    0     	 Fri Jun 10 13:34:14 2011	   100    	14.1961560249
    0     	    0     	 Fri Jun 10 13:35:17 2011	   100    	12.4882969856
    0     	    0     	 Fri Jun 10 13:36:23 2011	   100    	14.4703330994
    0     	    0     	 Fri Jun 10 13:37:29 2011	   100    	14.5584881306
    0     	    0     	 Fri Jun 10 13:38:56 2011	   100    	14.5254850388
    0     	    0     	 Fri Jun 10 13:39:55 2011	   100    	14.3788630962
    0     	    0     	 Fri Jun 10 13:40:47 2011	   100    	11.1461138725
    0     	    0     	 Fri Jun 10 13:43:14 2011	   100    	14.1833558083
    0     	    0     	 Fri Jun 10 13:44:36 2011	   100    	14.6653010845
    0     	    0     	 Fri Jun 10 13:44:52 2011	   1000   	36.0673818588
