,FiPy,PETSc_,pyamgx_,PySparse_,SciPy_,Trilinos_
:math:`\|\mathsf{L}\vec{x} - \vec{b}\|_2`,``unscaled``,[#FiPy_Convergence_Test]_,default [#AMGX_ABSOLUTE]_ ,[#FiPy_Convergence_Test]_,[#FiPy_Convergence_Test]_,[#AZ_noscaled]_
:math:`\frac{\|\mathsf{L}\vec{x} - \vec{b}\|_2}{\|\vec{b}\|_2}`,``RHS``,[#KSP_UNPRECONDITIONED_NORM]_,[#FiPy_Convergence_Test]_,"`cgs <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/cgs.c#l90>`_, `pcg <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/pcg.c#l154>`_, `qmres <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/qmrs.c#l139>`_, or [#FiPy_Convergence_Test]_",default [#SciPy_Convergence_Test]_,[#AZ_rhs]_
:math:`\frac{\|\mathsf{L}\vec{x} - \vec{b}\|_2}{\|\vec{L}\|_\infty}`,``matrix``,[#FiPy_Convergence_Test]_,[#FiPy_Convergence_Test]_,[#FiPy_Convergence_Test]_,[#FiPy_Convergence_Test]_,[#AZ_Anorm]_
:math:`\frac{\|\mathsf{L}\vec{x} - \vec{b}\|_2}{\|\mathsf{L}\vec{x} - \vec{b}\|_2^{(0)}}`,``initial``,[#FiPy_Convergence_Test]_,[#AMGX_RELATIVE_INI_CORE]_,"`bicgstab <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/bicgstab.c#l287>`_, `gmres <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/gmres.c#l159>`_, `minres <https://sourceforge.net/p/pysparse/git/ci/master/tree/pysparse/itsolvers/src/minres.c#l195>`_, or [#FiPy_Convergence_Test]_",[#FiPy_Convergence_Test]_,default [#AZ_r0]_
:math:`\frac{\|\mathsf{L}\vec{x} - \vec{b}\|_\infty}{\|\mathsf{L}\|_\infty  * \|\vec{x}\|_1 - \|\vec{b}\|_\infty}`,``solution``,,,,,[#AZ_sol]_
:math:`\frac{\left\|\mathsf{P}^{-1}\left(\mathsf{L}\vec{x} - \vec{b}\right)\right\|_2}{\left\|\vec{b}\right\|_2}`,``preconditioned``,[#KSP_PRECONDITIONED_NORM]_,,,,
:math:`\frac{\sqrt{\left(\mathsf{L}\vec{x} - \vec{b}\right)\mathsf{P}^{-1}\left(\mathsf{L}\vec{x} - \vec{b}\right)}}{\left\|\vec{b}\right\|_2}`,``natural``,[#KSP_NATURAL_NORM]_,,,,
